Britain|Albion,Blighty
amorous|ardent,doting,hot,impassioned,lovesick,randy,romantic,sportive
amount|betoken,consignment,dosage,quantum
ample|decent,extensive,full,galore,lank,plenteous,spacey,teeming,tolerable
amplify|heighten,reinforce,supplement
amplitude|compass,dimensions,width
amputate|abscise,disconnect
amulet|periapt,phylactery
amuse|beguile,regale
amusement|cheer,disport,hobby,jocularity,jollies,play,rec,sport
amusing|beguiling,rib-tickling
analgesic|pain-relieving,palliative
analysis|anatomization,decomposition,fractionation,interpretation,perusal,testing
analyze|anatomize,dissect,fractionate,interpret,peruse,test
anarchic|mutinous,turbulent
anarchist|frondeur,insurrectionist,mutineer
anathema|imprecation,offensive,pariah
anatomy|anatomization,constitution,fabric,interpretation,perusal
ancestor|antecedent,predecessor,primogenitor,prototype
ancestral|familial,lineal
ancestry|antecedents,roots,stirps
anchor|fix,linchpin,newsreader,reporter
anchorage|marina,roads,roadstead
anchorite|ascetic,cenobite,santon
ancient|antwacky,atavistic,bygone,classical,decrepit,foregone,long-lived,moldy,outmoded,passé,primitive
ancillary|adjuvant,adminicular,attendant,subordinate
and|moreover,too
anecdote|reminiscence,sketch
anemic|bleached,bloodless,etiolated,inadequate,pathetic
anesthetic|local,opiate
angel|Maecenas,dear,nonpareil,patron,spirit,underwriter
angelic|adorbs,empyrean,enchanting,exemplary,holy,spiritual
anger|aggravation,bile,displease,empurple,gravel,peeve,resentment,waspishness
angle|acclivous,bias,canted,crook,cusp,inclination,light,orient,projection,slant,squint,turn
angler|fisher,piscator,rod
angry|bitter,bristle,crook,filthy,lively,painful,pissed,resentful,snappish,vex,waspish,waxy,wroth
angst|inquietude,uneasiness
anguish|despair,dolor
anguished|despairing,dolorous,harrowed
angular|Y-shaped,bifurcate,macilent,scraggly,skin-and-bones,spindle-shanked
animal|animalistic,appetitive,brute,critter,fauna,instinctual,ogre,pig,sensual,subhuman,swine,theriomorphic
animate|conscious,electrify,gladden,inspirit,organic,quick
animated|ardent,peart,turnt,zestful
animation|brio,fervor,get-up-and-go
animosity|disrelish,grievances,malignity,odium
annals|history,journals,muniments
annex|annexe,ell,garrison,join,usurp,wing
annexation|arrogation,usurping
annihilate|extirpate,waste
annotate|explicate,gloss,marginalize
annotation|exegesis,footnote,gloss
announce|harbinger,intimate,name,portend,preconize,proclaim
announcement|advisory,annunciation,asseveration,divulging,message,news,promulgation,pronouncement,pronunciamento,ukase
announcer|anchor,commentator,compère,emcee,host
annoy|provoke,rark,rasp
annoyance|aggravation,hassle,ire,nark,pique,skelf
annoyed|aggrieved,choleric,crook,eggy,ireful,pissed,vex,wrath
annoying|displeasing,inconvenient,punchable
annul|quash,recall,vacate,void
annular|discoid,round
annulment|quashing,recall,voiding
anodyne|palliative,run-of-the-mill
anoint|anele,hallow
anomalous|backasswards,eccentric,singular
anomaly|eccentricity,variation
anonymous|gray,innominate,mystery,uncredited,undersung
answer|acknowledgment,cheek,clapback,comeback,counter,key,reaction,rebuttal,rejoin,replication,resolution,riposte
answerable|liable,subject
antagonism|contention,disrelish,grievances,malignity,needle,odium
antagonist|contender,corrival,hostile
antagonistic|agin,argumentative,averse,badass,oppugnant
antagonize|disaffect,offend,rark
