Britain|Albion,Blighty
implementation|administration,effecting,effectuation,imposition
implicate|compromise,ensnare,expose,inculpate,signal
implication|association,effect,inculpation,indication
implicit|assumed,constant,deducible,fundamental,incorporated,positive,utter
implied|assumed,understood
implore|bid,impetrate
imply|entail,require,signal
impolite|contumelious,derogatory,lippy,mannerless,ungallant,vulgar
impolitic|irresponsible,short-sighted,tactless
import|nitty-gritty,nub,seriousness,spirit
importance|account,dominance,grandness,pull,urgency,value
important|basic,formidable,germane,grand,major,material,number-one,outstanding,seminal,urgent
importunate|clamant,high-pressure,indefatigable,obdurate,pushy,suppliant
importune|approach,bug,enjoin,hustle,mither,obsecrate,proposition
impose|enforce,introduce,manipulate,slap,urge
imposing|formidable,resplendent
imposition|clapping,enforcing,hassle,institution,mulct,payment,pressing,promulgation,worry
impossible|harebrained,inconceivable,infuriating,irrational,no-win,outrageous,unendurable,ungovernable,unsustainable,unworkable,vain
imposture|codology,kidology,quackery,subterfuge,swindling,wheeze,wile
impotent|effete,fruitless,impuissant,unfitted
impound|attach,corral,kettle,poind,take
impoverish|beggar,bleed,cripple
impoverished|beggared,uncultivatable
impracticable|impractical,unrealizable
impractical|airy-fairy,half-baked,impracticable,quixotic,unserviceable,wild
imprecation|anathema,ban,cess,execration,hex
imprecise|ballpark,nebulous,noncommittal,out,rough,sweeping
impregnable|indestructible,indubitable,invulnerable
impregnate|charge,drench,fertilize
impresario|fixer,maestro,showman
impress|astonish,chisel,galvanize
impression|apprehension,conviction,drawing,estimation,imprint,influence,mimicry,pastiche,personation,publication,spoof
impressive|amazeballs,badass,breathtaking,consummate,dignified,fine
imprint|embed,emboss,etch,impression,indentation,print
imprisoned|away,immured
imprisonment|captivity,chokey,duress,time
improbability|dubiousness,implausibility,incredibility
improbable|fanciful,incredible,performative,preposterous,uncertain
impromptu|extemporaneous,extemporaneously,spur-of-the-moment
improper|cheeky,distasteful,immoral,nudge-nudge,pornographic,saucy,shameless,undignified,unscrupulous
impropriety|felony,impoliteness,inappropriateness,irregularity,peccadillo,trespass
improve|develop,enlarge,meliorate,tweak
improvement|amelioration,breakthrough,forwarding,raising
improvident|excessive,feckless,thoughtless
imprudent|foolhardy,ill-advised,unwary
impudence|boldness,nerve,nerviness,pertness
impudent|contumelious,flip,ill-bred,nervy,pert
impulse|catalyst,communication,itch,notion,rashness,unpremeditatedly,wave
impulsive|abandoned,adventurous,extemporaneous,injudicious,unthinking
impunity|exoneration,favoritism,license,scot-free
impure|admixed,alloyed,befouled,concupiscent,defiled,dishonorable,dissolute,feculent,foul,insanitary,poisoned,pornographic
impurity|concupiscence,degradation,dishonor,dissolution,feculence,grossness,pollution,scum,unwholesomeness
in|by,chic,friends,idiosyncrasies,over,particularities,rising,swinging,within
inability|helplessness,inefficacy,insufficiency
inaccessible|godforsaken,intellectual,rarefied,sequestered,snobbish,unapproachable,ungetatable
inaccuracy|bloomer,boob,corrigendum,faultiness,flaw,goof,typo
inaccurate|garbled,unreliable
inaction|apathy,nonintervention,torpor
inactivate|immobilize,scupper
inactive|dead,dormant,immobile,torpid
inactivity|apathy,immobility,laissez-faire,listlessness
inadequacy|exiguousness,loophole,niggardliness,powerlessness,restrictedness,substandardness,undersupply
inadequate|exiguous,half-arsed,half-assed,inferior,limited,lousy,meager,piddling,powerless
inadvertent|coincidental,involuntary,thoughtless
inadvertently|mistakenly,unwittingly
inalienable|indefeasible,inherent,nonnegotiable,unassailable
inane|damfool,dof,dumb-ass,empty-headed,glaikit,gormless,jejune
inanimate|abiotic,extinct,mineral,motionless
inapplicable|impertinent,inadmissible,inapt
inapposite|ill-advised,impertinent,inapplicable
inappreciable|exiguous,nanoscopic,piffling
inappropriate|inapt,malapropos,undesirable,unladylike
inapt|incongruous,malapropos,undesirable,unladylike
inarticulate|jumbled,muffled,mumchance,soundless,speechless,stammering,unvocalized
inattention|heedlessness,inconsideration,laxness,obliviousness,oscitation
inattentive|inconsiderate,lax,unheeding,unthinking
inaugural|dedicatory,launching,maiden
inaugurate|commence,consecrate,enthrone,hansel,ordain
inauguration|commencement,consecration,crowning,formation,inception,investiture,unveiling
inauspicious|bad,disadvantageous,sinistrous,unchancy
inborn|connatural,inbred,unlearned
inbred|connatural,inborn,unlearned
inbuilt|connate,deep-rooted,incorporated,native
incalculable|cosmic,multitudinous,unsummed
incandescent|aflame,candescent,crook,fervent,gleaming,glowy,rageful,soreheaded,vex,wroth
incantation|makutu,mojo,recitation,rune
incapable|ham-fisted,impotent,inferior
incapacity|inefficiency,unfitness,weakness
incarceration|chokey,duress,restraint,time
incarnation|avatar,epitome,existence
incautious|foolish,unobservant
incendiary|controversial,fire-raiser,fire-raising,firesetter,insurrectionist,pyro,pyromaniac,stirrer,stirring,torch
incense|balm,scent
incensed|crook,pissed,vex,waxy,wroth
incentive|bait,come-on,douceur,impulse,provocation
inception|commencement,kickoff,opening,outset,rise
incessant|recurrent,untiring
incessantly|24/7,perpetually
incidence|commonness,extent,frequency
incident|affray,afters,argy-bargy,bangarang,business,contretemps,development,donnybrook,drama,feat,scene
incidental|aleatory,auxiliary,expendable,expenses,fluky,unlooked-for
incinerate|carbonize,cremate
incipient|dawning,embryonal,germinal,inchoate,initial
incise|lance,notch,scotch,slash
incision|scarification,scotch,slash,slit
incisive|clear,heads-up,quick,sapient
incite|enkindle,influence,prick,procure
incitement|enkindling,fomentation,inducement
inclement|adverse,damp,icy,windy
inclination|affinity,angle,appetency,bent,bevel,declivity,dip,humor,impulse,leaning,love,proneness,taste,tilt,velleity,yen
incline|bevel,convince,deviate,dip,downslope,heel,hill,prejudice,sway,trend,upgrade
inclined|predisposed,prepared
include|comprehend,contain
inclusion|encompassing,introduction
incognito|anonymously,camouflaged,incog,unidentified
incognizant|nescient,unenlightened,unmindful
incoherent|illogical,inchoate,irrational,scrambled,slurred
incombustible|asbestine,fire-retardant,flame-retardant,nonflam,ovenproof,unburnable
income|emolument,means,take
incoming|elected,emolument,entering,take
incommensurate|inadequate,unfair
incomparable|nonpareil,one-in-a-million,perfect,unexampled
incomparably|easily,uniquely
incompatible|antipathetic,discordant,ill-assorted
incompetence|hopelessness,insufficiency
incompetent|half-assed,unqualified
incomplete|bitty,restricted,shortened,unperformed
incomprehensible|Delphic,inarticulate,indecipherable,intricate,wildering
inconceivable|incomprehensible,mind-boggling
inconclusive|ambiguous,moot
incongruity|extraneousness,irreconcilability
incongruous|disconsonant,discrepant,extraneous,irreconcilable
inconsequential|irrelevant,lightweight,picayune,piffling
inconsiderable|beggarly,exiguous,inconsequential,mingy,poxy,small-bore
inconsiderate|disrespectful,ignorant,indelicate,unfair
inconsistency|contrariety,discrepancy,erraticism,oppugnancy,unsteadiness,volatility
inconsistent|chameleonic,fluctuant,labile,paradoxical,peaky,uneven
inconsolable|comfortless,dolorous,sad
inconspicuous|concealed,low-key,retiring,unmemorable
inconstant|labile,peaky,two-timing,unstable,unsteady,variational
incontestable|apodictic,categorical,ultimate
incontinent|ungovernable,untrammeled
incontrovertible|acknowledged,apodictic,palpable,ultimate,unanswerable,watertight
inconvenience|blister,discommode,disturb,hassle,heavy,irritate,nark,problem,unpleasantness
inconvenient|aggravating,disadvantageous,disruptive,embarrassing,unseasonable
incorporate|blunge,commix,consolidate,encompass,integrate,intermix,whisk
incorporeal|aerial,disembodied,hallucinatory,nonphysical,phantasmic,supernatural
incorrect|abroad,flawed,iffy,undesirable
incorrigible|hardcore,hardened,impossible,unashamed
incorruptible|decent,eternal,perdurable
increase|accumulate,aggravation,augmentation,escalate,heightening,hike,inflate,inflation,mushrooming,reinforce,spiral,strengthen,swell,upgrade,upturn,wax,widen
incredible|awful,extraordinary,pathetic,sublime,superhuman,unbelievable,unco,unreal,unrealistic,wondrous
incredulous|chary,unconvinced
increment|accrual,advance,hike
incriminate|entrap,inculpate,involve
inculcate|foster,indoctrinate,instil,introduce,teach
inculpate|entrap,involve
incumbent|imperative,occupant,official,reigning
incur|collect,draw
incurable|arrant,full-bore,immedicable,long-term,mortal,right-down,unfaltering
indecency|licentiousness,pornography,vileness
indecent|adult,crass,inappropriate,licentious,outrageous,saucy,see-through,skin,titillating,vile
indecipherable|bad,bewildering,indistinct
indecision|cunctation,swithering,temporization,tentativeness,uncertainty
indecisive|paradoxical,shilly-shallying,torn,uncertain,undetermined,weak
indecorum|improperness,shamelessness
indeed|awfy,bitching,damned,exceeding,fair,frightfully,indubitably,lekker,right,so,thoroughly,très,verily
indefatigable|enthusiastic,indomitable,industrious,unflagging
indefensible|inexpiable,insecure,outrageous,pregnable,unacceptable,unnecessary,unwarrantable
indefinable|fugitive,nameless,obscure
indefinite|dubious,immeasurable,uncertain
indelicacy|shamelessness,tactlessness
indelicate|indiscreet,licentious,raunchy,saucy
indemnify|assure,warrant
indemnity|assurance,comp,damages,derogation,exoneration,favoritism,impunity,meed,safeguard,solatium
indent|application,deboss,demand,dent,summons
indentation|bay,crater,dimple,gash,lacuna,notch,ria
indenture|engagement,instrument,understanding,warranty
independence|autarky,contrariness,equitableness,justice,liberty,self-standing,unorthodoxy
independent|commercial,complete,contrary,denationalized,just,maverick,nonaligned,self-made,separate,unhampered
independently|severally,solo
indescribable|fugitive,prodigious,profound,unspeakable
indestructible|adamantine,infrangible,long-lasting,nonbreakable
indeterminate|dim,equivocal,ill-defined,nebulose,unpredictable,unstructured
index|marker,suggestion
indicate|admit,betoken,imply,represent,show,stipulate
indicated|essential,prudent,suitable
indication|clue,intimation,proof,record
indicative|emblematic,indicatory
indicator|index,signal
indictment|beef,impeachment,imputation,inculpation,plaint,summons
indifference|adequacy,amateurism,callousness,poco-curantism
indifferent|amateurish,callous,fair,half-pie,pococurante
indigence|difficulties,pauperdom,pauperism,ruination,vagrancy
indigenous|autochthonic,domestic,initial,primordial
indigent|beggared,penurious,ruined
indigestion|collywobbles,pyrosis
indignant|chagrined,pissed,steamed
indignation|aggravation,chagrin,ire
indignity|degradation,discourtesy,obloquy
indigo|amethyst,navy,purple
indirect|allusive,anfractuous,circuitous,derivative,zigzag
indirectly|allusively,consequentially
indiscernible|blear,fine,hidden,inaudible
indiscreet|infelicitous,insensitive,irresponsible,misguided,saucy,shameless,short-sighted,unseemly
indiscretion|impropriety,insensitivity,irresponsibility,short-sightedness,sin,slip-up,trespass
indiscriminate|blanket,careless,chaotic,promiscuous,unmethodical
indiscriminately|arbitrarily,injudiciously,mindlessly,promiscuously
indisposed|afraid,opposed
indisposition|hesitancy,lurgy,opposition,trouble,unpreparedness,upset,virus,wog
indisputable|acknowledged,apodictic,palpable,ultimate,unanswerable,watertight
indistinct|blear,indeterminate,nebulose,nebulous,smudged,suppressed
indistinguishable|inaudible,indefinite
individual|bastard,bugger,cove,dog,especial,girl,independent,isolated,oner,outsider,personage,punter,rarity,special,thing,wight
individualism|eccentricity,libertarianism,originality
individualist|loner,outsider,rarity
individualistic|groundbreaking,idiosyncratic
individuality|self,separateness
individually|apart,seriatim,severally
indoctrinate|ground,mold
indolence|dullness,hebetude,laxity
indolent|fainéant,good-for-nothing,otiose,plodding
indomitable|adamant,steely,unshakeable
indubitable|apodictic,clear-cut
induce|effectuate,encourage,enkindle,motivate,procure
inducement|douceur,perk,provocation,reward
indulge|accommodate,cocker,feather-bed,overparent,splurge
indulgence|accommodation,frill,mercifulness,nannying,partiality,slaking,sybaritism
indulgent|accommodating,soft,sympathetic
industrial|factory,protest,trade
industrious|laborious,productive,studious
industry|construction,continuance,craft,perseveration,productiveness,racket,rigorousness,service
inebriated|arseholed,ebriate,fou,gin-soaked,ripped,screwed,turnt
inebriation|crapulence,impairment,tightness,tipsiness
inedible|rancid,unsavory
ineffable|fabulous,unimaginable,unmentionable
ineffective|bootless,hopeless,inutile,lame,poor
ineffectual|bootless,bungling,inutile,poor
inefficacious|bootless,inept,inutile
inefficient|amateurish,careless,unsystematic,useless
inelegant|blundering,gauche,inexpert,unmannerly
ineligible|disentitled,incompetent,married
inept|botched,butterfingered,klutzy,rough
inequality|differential,variability
inert|fainéant,indifferent,insentient,otiose,sleeping,torpid
inertia|fainéance,hebetude,lifelessness,slothfulness
inescapable|ineludible,mandatory,predetermined
inessential|cosmetic,peripheral,supererogatory
inestimable|abundant,bottomless,myriad,unnumberable,untold
inevitable|ineluctable,ineludible,prescribed
inevitably|accordingly,perforce,undoubtedly
inexact|ballpark,lacking,woolly
inexcusable|inexpiable,unworthy
inexhaustible|abundant,dogged,untold
inexorable|indurate,irrevocable,remorseless,uncompromising,unrelenting
inexpedient|damaging,ill-considered,inappropriate,short-sighted
inexpensive|bargainous,giveaway
inexperience|cluelessness,immaturity,nescience
inexperienced|raw,uninitiated,unseasoned
inexpert|butterfingered,inexperienced
inexplicable|enigmatic,insolvable,wildering
inexpressible|ineffable,profound
inexpressive|stony,straight-faced
inextricable|confused,unpreventable
infallible|efficacious,scrupulous,sure-fire
infamous|beastly,exceptionable,lowdown,scandalous,unscrupulous
infamy|contempt,disesteem,dissolution,indignity
infancy|commencement,genesis,roots
infant|neonate,sprog,up-and-coming,wean
infantile|adolescent,jejune
infantry|GIs,Tommies,doughboys,footmen,grunts
infect|animate,contaminate,radioactivate,ruin,vitiate
infection|bug,contagion,indisposition,inflammation,lurgy,microbes,poison,sepsis
infectious|catching,communicable,compelling,epizootic,infective,noxious,spreading,virulent
infelicitous|inopportune,insensitive
infer|collect,figure,hypothesize,reckon
inference|guessing,guesstimate,ratiocination
inferior|ancillary,farkakte,menial,poxy,unsound
inferiority|deficiency,grottiness,indifference,servitude
infernal|Avernal,aggravating,chuffing,cursed,exasperating,fucking,helly,horrible,plurry,underworld
infertile|arid,barren,childless,infecund,unfructuous
infest|overwhelm,plague
infested|beset,permeated,vermined
infidel|nonconformist,nullifidian,paynim
infidelity|amour,fornication,hanky-panky,perfidiousness
infiltrator|entryist,gatecrasher,intelligencer,spook
infinite|bottomless,cosmic,multitudinous,real,unlimited,unnumberable,vast
infinitesimal|itty-bitty,little-bitty,tiddly,wee
infinity|immensity,shedload,ton,wealth
infirm|ailing,bedridden,unstable
infirmity|fluctuation,impairment,inconstancy,indisposition,instability
inflame|compound,empurple,gall,inspire
inflamed|angry-looking,florid,sensitive,septic
inflammable|explosive,ignitable,volatile
inflammation|puffiness,sensitivity,septicity,stinging
inflammatory|anarchic,contentious,emotive,erythrogenic,fomenting,irritant
inflate|swell
inflated|boosted,declamatory,extortionate,la-di-da,overplayed,steep,swollen,tumid
inflection|arch,case,declension,turning
inflexible|dyed-in-the-wool,entrenched,immutable,inelastic,mulish,refractory,unaccommodating,uncompromising,unmalleable
inflict|foist,wreak
infliction|applying,perpetration
influence|brainwash,contacts,drag,impact,leadership,nobble,pressure,prompt,regulate,suborn,teeth,weightage
influential|inspiring,noteworthy,pivotal,strong
influx|ingress,intrusion,inundation
inform|animate,clype,delate,job,peach,saturate,typify
informal|easy,folksy,illicit,intimate,leisure,matey,nonliterary,sportif,sporty,unaffected,unpretentious
informality|accessibility,coziness,homeliness
information|data,deets,documents,enlightenment,gen,intelligence,word
informative|factual,gossipy,improving,newsy
informed|cultured,down,instructed,sussed
informer|beagle,clype,fink,nose,peacher,plant,shelf,tattletale,tout,turncoat
infraction|breaking,contumacy,noncompliance
infrequent|fitful,scattered,seldom,sometime,unwonted
infringe|compromise,disrupt,exceed,infract,invade,neglect
infringement|compromise,delict,disturbance
infuriate|pique,ride
infuriating|bothersome,pestilent
infuse|add,inundate,mash,mast,souse
ingenious|capable,genius,intuitive,pioneering,shrewd
ingenuity|genius,shrewdness,skill,sophistication
ingenuous|green,undeceitful,unsophisticated
inglorious|shabby,shocking
ingratiating|bootlicking,brown-nosing,cajoling,insincere,saccharine,slippery
ingredient|attribute,element,integrant,makings
ingress|admission,entrance
inhabitant|burgher,indweller,native,settler,townspeople
inharmonious|absonant,combative,discordant,off-key,strident
inherent|connatural,deep-rooted,inexpungible,native,organic
inheritance|hereditament,patrimony
inheritor|heritor,receiver
inhibited|insecure,tongue-tied,undemonstrative
inhibition|hang-up,insecurity,retardation,straitjacket,timorousness
inhospitable|ill-disposed,inimical,offhand,spartan,ungracious,unwelcoming,xenophobic
inhuman|animal,barbarous,beastly,flagitious,ghostly,hard-nosed,heinous,sanguinary,uncaring,unearthly,unforgiving
inhumane|barbarous,beastly,flagitious,hard-nosed,heinous,sanguinary,uncaring,unforgiving
inhumanity|barbarism,beastliness,dastardliness,flagitiousness,heinousness,unforgivingness
inhumation|corse,exequies,relics,skeleton
inimical|calamitous,glacial,maleficent,malign,prejudicial
inimitable|nonpareil,rare
iniquitous|blackguardly,crooked,dastardly,dissolute,facinorous,fiendish,improper,lawless,malfeasant,malicious,nefarious,reprehensible,unfair,unprincipled
iniquity|devilry,egregiousness,knavery,outrage,reprehensibility,sin
initial|fledgling,inchoate,initialism,primary,recognize,rudimentary,trial,underwrite,witness
initiate|actuate,convert,greenhorn,inculcate,member,neophyte,newbie,newcomer,novitiate,pioneer,probationer
initiation|baptism,commencement,inception,kickoff,recruitment
initiative|capability,commencement,creativity,démarche,gambit,pizzazz,tactic,vision
inject|breathe,feed,introduce,pop,vaccinate
injection|dose,inculcation,introduction,pop
injudicious|dumb,hotheaded,misguided,undesirable,wrongheaded
injunction|demand,irade,ukase,ultimatum
injure|blacken,disable,enfeeble,ill-use,knacker,scathe,vitiate
injured|aggrieved,crook,denigrated,disabled,displeased,fractured,game,gammy,harmed
injurious|dangerous,maleficent,malignant
injury|abuse,disability,disfigurement,grievance,outrage,sore,trauma
injustice|corruption,exploitation,grievance,intolerance
inkling|glimmering,hunch,innuendo
inky|Cimmerian,dark
inlaid|empaestic,parquetry,tiled
inland|local,upcountry
inlet|armlet,ria,sound,tube,voe
inmate|con,convalescent,internee,lag,occupant,yardbird
inmost|honest,unapparent
inn|beerhouse,howff,taproom
innards|guts,insides,numbles
innate|connatural,deep-seated,untaught
inner|emotional,intimate,intramural,mindly,nuclear,underlying,unrevealed
innermost|honest,interior,unapparent
innkeeper|alewife,host,restaurateur
innocence|childlikeness,immaculateness,inoffensiveness,spotlessness,wholesomeness
innocent|babe,benignant,child,faultless,greenhorn,immaculate,incorrupt,ingénue,open,playful,treatable,undefiled,wide-eyed
innocuous|innocent,innoxious,insipid,run-of-the-mill,wholesome
innovation|modernism,transmogrification,variation
innovative|ingenious,neoteric,newfangled
innovator|creator,neoteric,progressivist
innumerable|divers,lank,unnumberable
inoculate|inject,safeguard,vax
inoculation|jab,vax
inoffensive|innocent,noncombative,unremarkable
inoperable|immedicable,inconvenient,irremediable,malignant,mortal
inoperative|abortive,buggered,down,nonviable,shot,wonky
inopportune|disadvantageous,disturbing,unseasonable
inordinate|OTT,preposterous,unlimited
inorganic|inert,man-made
input|info,insert,resources,specifics,store
inquest|case,scrutinization
inquisition|catechism,examination,fact-finding
inquisitive|agog,busy,meddlesome,nebby,probing,snoopy
insalubrious|dismal,grotty,shambly,skanky
insane|bushed,certifiable,cock-eyed,crackers,crazy,enraged,ill-conceived,porangi,potty,schizophrenic,squirrelly,unthinkable,yampy
insanitary|germy,harmful
insanity|crazedness,craziness,deliration,insaneness,psychosis,ridiculousness
insatiable|esurient,gannet-like,gutsy,keen
inscribe|brand,incise,scotch,sign
inscription|autograph,carving,message,words
inscrutable|cryptic,dispassionate,obscure,poker-faced,sibylline,wildering
insecure|dodgy,introverted,mousy,precarious,pregnable,teetery,unsafe,unsecured
insecurity|dodginess,iffiness,riskiness,self-consciousness,tenuousness,uneasiness
insensate|soporous,stunned
insensible|infinitesimal,soporous,stunned
insentient|inert,numb
insert|ad,build,install,jam,leaflet,supplement,tuck
inside|entrails,hush-hush,in,incarcerated,innermost,instinctively,intestines,nucleus,privy
insider|participant,representative
insidious|indirect,sneaky
insight|arguteness,enlightenment,eye-opener,imagination,savvy
insightful|argute,prescient,profound,savvy,whip-smart
insignia|award,colors,gong
insignificant|dinky,nonessential,piddling
insincere|pseud,slippery
insinuation|allegation,overtone
insipid|barren,hacky,pathetic,unpalatable,wersh,wishy-washy
insist|avouch,dictate,exhort,reiterate,represent
insistence|arm-twisting,asseveration,hest,importuning,stress
insistent|exigent,inexorable,intrusive,pressing,pushy,repetitive,resolved
insobriety|crapulence,debauchery,dipsomania,impairment,tipsiness
insolence|bad-mouthing,contempt,crust,malapertness,nerviness,offensiveness,presumption,sauce,snash
insolent|forward,lippy,malapert,mannerless,nervy,offensive,presumptuous,saucy
insoluble|inexplicable,inscrutable,unresolvable
insolvency|beggary,folding,pauperdom,receivership,ruination
insomnia|restlessness,watchfulness
insouciance|carelessness,cool
insouciant|unserious,upbeat
inspection|consideration,evaluation,overhaul
inspector|analyst,auditor,ombudsman,scrutinator
inspiration|afflatus,brainstorm,breathing,catalyst,individuality,inspo,revelation,sophistication
inspire|beget,engender,enkindle,fillip,impel
inspired|enterprising,genius,memorable,smashing
inspiring|exciting,influential,stimulative
instability|abnormality,dodginess,erraticism,iffiness,insubstantiality,mutability,riskiness,unpredictableness,variability
install|anoint,crown,establish,insert,park,perch,plump
installation|appointment,attachment,consecration,coronation,insertion,machinery,premises,setup
installment|HP,bit,issue
instance|desire,exemplification,identify,insistence,pressure,propose,solicitation,step,suggestion
instant|TV,abrupt,alacritous,ekdam,forthright,hour,point,promptly,rathe,snap
instantaneous|abrupt,alacritous,lightning,rathe
instantly|ekdam,forthright,promptly
instead|alternately,alternatively,before,ideally
instigate|activate,commence,prick,procure,sway
instigation|desire,inception,inducement,insistence,instance,persuasion,solicitation,suggestion
instigator|agent,begetter,leader
instil|foster,inculcate,indoctrinate,inject,introduce,teach
instinct|bent,need,nose
instinctive|gut,unlearned,unpremeditated
institute|anoint,center,commence,corporation,create,crown,initiate
institution|anointing,center,commencement,concept,corporation,creation,crowning,initiation,law,origination,praxis,wont
institutional|disagreeable,establishment,forbidding,regimented,regulated,savorless,sterile,wishy-washy
instruct|bid,charge,dictate
instruction|andragogy,behest,bible,companion,discipline,edification,enchiridion,lectures,priming,pronouncement,rescript,say-so,specification,warrant
instructive|helpful,heuristic,homiletic,propaedeutic,telling
instructor|guide,preceptor,professor
instrument|cog,display,gizmo,measure,mechanism,organ
instrumental|contributory,important
insubordinate|bolshie,contrary,contumacious,rascally
insubordination|acting-up,contrariness,infraction,revolt,roguery,troublemaking
insubstantial|gimcrack,illusionary,incorporeal,indistinct,makeshift,shallow,vaporous
insufferable|complacent,outrageous,peacockish,strutting,vainglorious
insufficiency|exiguousness,shortfall,shortness
insufficient|exiguous,limited,meager,piddling,scanty,wanting
insular|blimpish,borné,claustral,discriminatory,jerkwater,self-sufficient
insularity|discrimination,self-sufficiency
insulate|cloister,cocoon,cushion,lap
insulation|quarantine,safeguarding,wrap
insult|aspersions,bad-mouth,calumniate,contumely,miscall,rudeness,sledge,trash-talk,wound
insulting|catty,contemptuous,contumelious,discrediting,vituperative
insuperable|impossible,unassailable
insupportable|defective,excruciating,unreasonable
insurance|assurance,backstop,cover,immunity,warranty
insurgent|Montonero,Zapatista,insurrectionary,insurrectionist,mutinying,renegade,rioter,subversive
insurmountable|impossible,unassailable
insurrection|coup,jacquerie,putsch,sedition
intact|scatheless,solid
intangible|aerial,fugitive,invisible,mysterious,nameless,phantasmic,supernatural
integral|constituent,intact,integrant,requisite,structural
integrate|commingle,desegregate
integrated|anti-discrimination,concatenated,confederated
integration|concatenation,inclusion
integrity|coalition,toughness,trustworthiness
intellect|brain,kop,sage,smarts,wits
intellectual|academic,boffin,bookman,clerkly,cognitive,genius,logical,mastermind,pandit,pointy-head,ratiocinative,sage,sophisticated
intelligence|braininess,deets,gen,humint,recon,report(s),talent
intelligent|discerning,genius,higher-order,inventive,knowledgeable,smart,talented,whip-smart
intelligentsia|boffins,brains,eggheads
intelligibility|unambiguity,user-friendliness
intelligible|graspable,understandable,user-friendly
intemperance|crapulence,dipsomania,dissoluteness,lavishness,self-gratification,tipsiness
intemperate|dissipative,egregious,uncurbed
intend|envisage,wish
intended|aforethought,betrothed,predetermined,prepense,volitional
intense|committed,consuming,passional,serious,vigorous
intensification|compounding,enlargement,reinforcement
intensify|compound,magnify,reinforce
intensity|acuteness,energy,fanaticism,forcefulness,grievousness,harshness
intensive|all-absorbing,insistent,thoroughgoing
intent|determination,end,hope,keen,observant,plus-minus,scheme
intention|calculation,determination,end,hope,scheme
intentional|aforethought,predetermined,prepense,volitional
intentionally|consciously,wantonly
inter|deep-six,inearth,inurn,plant
interact|intercommunicate,link,negotiate
interaction|commerce,correspondence,proceedings,reaction,teamwork,traffic
intercept|buttonhole,commandeer,confront,detain
intercession|action,mediatorship
intercessor|arbiter,peacemaker
interchange|cloverleaf,crossing,exit,reciprocate,reciprocity,replacing,supplant,trade,truck
interchangeable|equal,replaceable
intercourse|commerce,copulation,doings,fornication,fucking,nookie,pata-pata,proceedings,shagging,trafficking
interdict|detain,restrain,suppress
interest|affairs,captivate,care,concern,delight,entertain,enthusiasm,equity,fascinate,inquisitiveness,loyalty,prejudice,relaxation,returns,scrutiny,sell,tantalization,urgency
interested|discriminatory,eager,related,snoopy
interesting|action-packed,beguiling,unputdownable
interfere|confuse,cumber,damage,gatecrash,grope,maul
interference|fading,gatecrashing,obtrusion
interfering|busy,busybody,intermeddling,nebby,snooping
interim|emergency,interlude,interregnum,provisionary
interior|belly,bush,central,gut,heart,hidden,hinterland,innards,intramural,local,spontaneous,wild,wilds
interject|add,comment
interjection|call,introducing,vociferation
interloper|gatecrasher,newcomer
interlude|downtime,lull,smoko,surcease
intermediary|linkperson,negotiant,peacemaker
intermediate|intermedial,medial,transitional
interment|exequies,inhumation,obsequies
interminable|indeterminable,legion,ponderous,sustained,unnumberable
intermingle|interflow,marry
intermission|discontinuation,downtime,halt,interval,smoko,surcease
intermittent|recurring,scattered
intern|beginner,confine,immure
internal|emotional,in-company,inner,intimate,intramural,local,middle,state
international|all-embracing,intercontinental
internecine|family,ruinous
interplay|adaptability,concessions
interpret|convert,crack,explain,paraphrase,render
interpretation|anatomization,deciphering,definition,depiction,diagnosis,paraphrasing,simplification,singing,supposition,transliteration
interpreter|annotator,decipherer,dragoman,exponent,glossator,player
interrogation|catechism,debriefing,examination
interrogative|catechistical,investigative
interrupt|intersperse,restrict,scatter,shelve,terminate
interruption|disturbance,hiatus,termination
intersect|crisscross,decussate,span
intersection|T-junction,crisscrossing,crossing,joining
intersperse|bestrew,litter,mingle,punctuate
intertwine|convolute,knit
interval|area,gap,halftime,interregnum,interspace,meanwhile,respite
intervene|betide,hap,intrude,supervene
intervention|arbitrament,interposition,meddling,peacebuilding
interview|confab,cross-examine,examine,exchange,interlocution,interrogation,talks
interviewer|appraiser,correspondent,examinant
interweave|associate,marry,plait
intestinal|stomachical,visceral
intestines|colon,innards,numbles,viscera
intimacy|congress,copulation,mateyness,palliness
intimate|convey,divulge,inform
intimation|annunciation,divulging,impression,proclamation
intimidate|bullyrag,oppress,plague,unnerve
intimidation|oppression,plaguing,railroading,unnerving
intolerance|discrimination,illiberality,oversensitivity
intolerant|oversensitive,unjust,unsympathetic
intonation|brogue,cantillation,singing,stress
intone|cantillate,recite
intoxicated|arseholed,ebriate,fou,gin-soaked,ripped,screwed,turnt
intoxicating|galvanizing,mind-blowing,potent,stiff,vinous
intoxication|crapulence,impairment,stupefaction,tightness
intractable|balky,bloody-minded,burdensome,rock-ribbed,stiff-necked,willful
intransigent|badass,bloody-minded,indurate,stiff-necked,tenacious
intrepid|doughty,have-a-go,indomitable,plucky,venturous
intricate|detailed,fiddly,hard,involuted,sinuous
intrigue|captivate,covin,dalliance,hanky-panky,machinate,maneuver,subterfuge,tantalize,titillate,unfaithfulness
intriguer|conniver,exploiter,intrigant(e)
intriguing|tantalizing,thought-provoking
intrinsic|connatural,ineffaceable,necessary
introduce|bring,feed,float,interpose,launch,move,table
